Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:44:42 PM,49.1915,15.6828,← 295°,428,493,"35,950", ,FlightAware ADS-B (LKCS)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:45:13 PM,49.2168,15.5943,← 294°,429,494,"35,950",25,FlightAware ADS-B (LKPA)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:45:43 PM,49.2397,15.5137,← 294°,428,493,"35,975",75,FlightAware ADS-B (LKCS)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:46:13 PM,49.2631,15.4314,← 293°,426,490,"36,025",25,FlightAware ADS-B (LOXT)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:46:43 PM,49.286,15.3501,← 293°,425,489,"36,000",-25,FlightAware ADS-B (LOXT)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:47:13 PM,49.3101,15.2648,← 293°,424,488,"36,000", ,FlightAware ADS-B (LOXT)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:47:43 PM,49.3331,15.1826,← 293°,423,487,"36,000",-25,FlightAware ADS-B (DRS / EDDC)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:48:13 PM,49.3559,15.1008,← 293°,423,487,"35,975",-25,FlightAware ADS-B (LKPA)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:48:43 PM,49.3789,15.0185,← 293°,424,488,"35,975",25,FlightAware ADS-B (PRG / LKPR)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:49:13 PM,49.4021,14.9346,← 293°,424,488,"36,000",25,FlightAware ADS-B (KTW / EPKT)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:49:43 PM,49.4252,14.851,← 293°,424,488,"36,000",25,FlightAware ADS-B (LKLT)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:50:13 PM,49.4481,14.7685,← 293°,424,488,"36,025", ,FlightAware ADS-B (PRG / LKPR)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:50:43 PM,49.4712,14.684,← 293°,425,489,"36,000",-31,FlightAware ADS-B (EDBR)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:51:01 PM,49.4841,14.6371,← 294°,425,489,"36,000", ,FlightAware ADS-B (MUC / EDDM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:51:32 PM,49.5077,14.5502,← 293°,425,489,"36,000", ,FlightAware ADS-B (MUC / EDDM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:52:02 PM,49.5302,14.4674,← 293°,423,487,"36,000", ,FlightAware ADS-B (BTS / LZIB)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:52:32 PM,49.5526,14.385,← 293°,418,481,"36,000",-50,FlightAware ADS-B (BYU / EDQD)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:53:02 PM,49.5749,14.3024,← 293°,416,479,"35,950",-50,FlightAware ADS-B (DRS / EDDC)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:53:32 PM,49.5968,14.2207,← 292°,414,476,"35,950", ,FlightAware ADS-B (LKKB)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:54:03 PM,49.6197,14.1351,← 292°,413,475,"35,950",49,FlightAware ADS-B (EPLS)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:54:33 PM,49.6409,14.0557,← 292°,411,473,"36,000",75,FlightAware ADS-B (MUC / EDDM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:55:03 PM,49.6621,13.9761,← 292°,410,472,"36,025", ,FlightAware ADS-B (PRG / LKPR)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:55:34 PM,49.6844,13.8916,← 292°,408,470,"36,000",-74,FlightAware ADS-B (LKBE)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:56:04 PM,49.7062,13.8089,← 292°,409,471,"35,950",-25,FlightAware ADS-B (LKKL)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:56:34 PM,49.7281,13.7267,← 292°,410,472,"35,975",50,FlightAware ADS-B (LKKL)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:57:04 PM,49.7492,13.647,← 292°,411,473,"36,000",25,FlightAware ADS-B (DRS / EDDC)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:57:34 PM,49.7703,13.5663,← 292°,413,475,"36,000",25,FlightAware ADS-B (HOQ / EDQM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:58:04 PM,49.7918,13.4838,← 292°,414,476,"36,025",21,FlightAware ADS-B (MUC / EDDM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:58:46 PM,49.8212,13.3703,← 292°,415,478,"36,025",-21,FlightAware ADS-B (HOQ / EDQM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:59:16 PM,49.8426,13.2877,← 292°,417,480,"36,000",-25,FlightAware ADS-B (EDQA)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 08:59:46 PM,49.8645,13.2023,← 292°,418,481,"36,000",-25,FlightAware ADS-B (LKUL)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:00:16 PM,49.8859,13.118,← 291°,421,484,"35,975",25,FlightAware ADS-B (LKPM)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:00:46 PM,49.907,13.0354,← 292°,422,486,"36,025",50,FlightAware ADS-B (LKUL)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:01:16 PM,49.9289,12.9494,← 292°,423,487,"36,025",-25,FlightAware ADS-B (LKLT)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:01:46 PM,49.951,12.8624,← 292°,420,483,"36,000",-75,FlightAware ADS-B (PRG / LKPR)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:02:16 PM,49.9711,12.7826,← 291°,417,480,"35,950",-50,FlightAware ADS-B (EDQA)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:02:46 PM,49.9919,12.6992,← 291°,416,479,"35,950", ,FlightAware ADS-B (NUE / EDDN)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:03:16 PM,50.0134,12.6144,← 291°,416,479,"35,950",50,FlightAware ADS-B (KLV / LKKV)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:03:46 PM,50.0348,12.5295,← 291°,417,480,"36,000",94,FlightAware ADS-B (EDCS)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:04:04 PM,50.0437,12.4806,← 281°,427,491,"36,025",56,FlightAware ADS-B (BER / EDDB)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:04:40 PM,50.0499,12.3705,← 274°,432,497,"36,050", ,FlightAware ADS-B (FRA / EDDF)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:05:03 PM,50.0535,12.298,← 275°,430,495,"36,025",-28,FlightAware ADS-B (LKHK)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:05:33 PM,50.0582,12.2062,← 276°,429,494,"36,025",-25,FlightAware ADS-B (EDTX)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:06:03 PM,50.0631,12.1109,← 274°,428,493,"36,000",-25,FlightAware ADS-B (STR / EDDS)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:06:33 PM,50.0675,12.0207,← 274°,429,494,"36,000",-25,FlightAware ADS-B (LKKL)
TLV - BRU,Brussels Airlines,BEL3290,A320,28/06/2023,Wed 09:07:03 PM,50.0721,11.9274,← 274°,430,495,"35,975", ,FlightAware ADS-B (LEJ / EDDP)
