Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:42:11 AM,36.64,26.342,← 305°,439,505,"32,400",-950,FlightAware ADS-B (RHO / LGRP)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:42:41 AM,36.6756,26.2789,← 305°,446,513,"31,925",-975,FlightAware ADS-B (ADB / LTBJ)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:43:11 AM,36.7107,26.2162,← 305°,449,517,"31,425","-1,125",FlightAware ADS-B (ADB / LTBJ)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:43:41 AM,36.7471,26.1512,← 305°,447,514,"30,800","-1,175",FlightAware ADS-B (HER / LGIR)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:44:11 AM,36.7825,26.0882,← 305°,447,514,"30,250",-800,FlightAware ADS-B (CHQ / LGSA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:44:41 AM,36.8176,26.0259,← 305°,450,518,"30,000",-250,FlightAware ADS-B (LGMG)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:45:11 AM,36.8534,25.9618,← 305°,450,518,"30,000", ,FlightAware ADS-B (CHQ / LGSA)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:45:41 AM,36.8888,25.8981,← 305°,450,518,"30,000", ,FlightAware ADS-B (JSI / LGSK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:46:11 AM,36.9245,25.8338,← 305°,455,524,"30,000", ,FlightAware ADS-B (JSI / LGSK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:46:41 AM,36.961,25.7681,← 305°,462,532,"30,000",-277,FlightAware ADS-B (JSI / LGSK)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:47:16 AM,37.005,25.6888,← 305°,461,531,"29,700",-727,FlightAware ADS-B (HER / LGIR)
TLV - ATH,Aegean Airlines,AEE929,A21N,23/06/23,Fri 06:47:47 AM,37.0424,25.6213,← 305°,462,532,"29,200",-984,FlightAware ADS-B (RHO / LGRP)
