Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:36:39 AM,33.1797,32.287,← 304°,474,545,"36,125",935,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:37:09 AM,33.217,32.222,← 304°,474,545,"36,575","1,000",FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:37:39 AM,33.2542,32.1571,← 304°,472,543,"37,125","1,082",FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:38:10 AM,33.2911,32.0926,← 304°,469,540,"37,675",823,FlightAware ADS-B (LCA / LCLK)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:38:41 AM,33.3294,32.0254,← 304°,467,537,"37,975",207,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:39:37 AM,33.3985,31.905,← 315°,624,718,"37,975",14,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:40:26 AM,33.458,31.8019,← 312°,496,571,"38,000",18,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:41:01 AM,33.5018,31.7267,← 306°,857,986,"38,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:41:37 AM,33.5455,31.6493,← 304°,471,542,"38,000",23,FlightAware ADS-B (BEY / OLBA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:42:07 AM,33.5807,31.5868,← 304°,471,542,"38,025",25,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:42:37 AM,33.6173,31.5214,← 304°,471,542,"38,025", ,FlightAware ADS-B (GZP / LTFG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:43:07 AM,33.6542,31.4556,← 304°,470,541,"38,025", ,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:43:37 AM,33.6898,31.3922,← 304°,470,541,"38,025",-25,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:44:07 AM,33.7273,31.3252,← 304°,468,539,"38,000",-25,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:44:37 AM,33.7627,31.2618,← 304°,466,536,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:45:07 AM,33.7994,31.1962,← 304°,466,536,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:45:38 AM,33.8347,31.1329,← 304°,464,534,"38,000",-25,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:46:08 AM,33.871,31.0677,← 304°,464,534,"37,975", ,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:46:38 AM,33.9071,31.0027,← 304°,462,532,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:47:08 AM,33.9401,30.9434,← 304°,462,532,"37,975", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:47:39 AM,33.9767,30.8772,← 304°,461,531,"38,000",25,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:48:09 AM,34.0125,30.8126,← 304°,460,529,"38,000",-23,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:48:43 AM,34.0548,30.7359,← 304°,460,529,"37,975",-23,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:49:13 AM,34.0902,30.6717,← 304°,460,529,"37,975", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:49:43 AM,34.1254,30.6076,← 303°,461,531,"37,975", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:50:14 AM,34.1623,30.5405,← 303°,464,534,"37,975",21,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:50:54 AM,34.2087,30.4558,← 303°,465,535,"38,000",40,FlightAware ADS-B (ECN / LCEN)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:51:29 AM,34.2502,30.3801,← 303°,465,535,"38,025",46,FlightAware ADS-B (GZP / LTFG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:51:59 AM,34.2851,30.3163,← 303°,463,533,"38,050",25,FlightAware ADS-B (GZP / LTFG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:52:30 AM,34.3196,30.2528,← 303°,462,532,"38,050",-25,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:53:00 AM,34.3544,30.1888,← 303°,459,528,"38,025",-25,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:53:30 AM,34.3915,30.1205,← 303°,458,527,"38,025",-48,FlightAware ADS-B (AYT / LTAI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:54:02 AM,34.4288,30.0521,← 304°,458,527,"37,975",-48,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:54:32 AM,34.4689,29.9882,← 310°,463,533,"37,975", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:55:00 AM,34.5084,29.9375,↖ 317°,469,540,"37,975", ,FlightAware ADS-B (AYT / LTAI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:55:18 AM,34.5359,29.9082,↖ 321°,473,544,"37,975", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:55:49 AM,34.5886,29.8563,↖ 321°,473,544,"37,975", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:56:19 AM,34.6414,29.8041,↖ 321°,474,545,"37,975",24,FlightAware ADS-B (GZP / LTFG)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:56:51 AM,34.6926,29.7536,↖ 321°,475,547,"38,000",23,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:57:23 AM,34.7517,29.6952,↖ 321°,476,548,"38,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:57:53 AM,34.8022,29.6451,↖ 321°,478,550,"38,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:58:25 AM,34.8561,29.5917,↖ 321°,477,549,"38,000",23,FlightAware ADS-B (ECN / LCEN)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:58:58 AM,34.9137,29.5344,↖ 321°,478,550,"38,025", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:59:29 AM,34.9661,29.4823,↖ 321°,478,550,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 05:59:59 AM,35.018,29.4305,↖ 321°,476,548,"38,025",25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:00:29 AM,35.0692,29.3795,↖ 321°,475,547,"38,025", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:00:59 AM,35.1208,29.3279,↖ 321°,475,547,"38,025",-25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:01:29 AM,35.1722,29.2764,↖ 321°,475,547,"38,000",-25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:01:59 AM,35.2229,29.2255,↖ 321°,474,545,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:02:30 AM,35.2744,29.1737,↖ 321°,473,544,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:03:00 AM,35.3255,29.1223,↖ 321°,473,544,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:03:30 AM,35.3757,29.0717,↖ 320°,474,545,"38,000",-23,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:04:06 AM,35.4354,29.0113,↖ 320°,474,545,"37,975", ,FlightAware ADS-B (HER / LGIR)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:04:36 AM,35.4861,28.9601,↖ 320°,474,545,"38,000",25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:05:07 AM,35.5381,28.9074,↖ 320°,475,547,"38,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:05:37 AM,35.5884,28.8562,↖ 320°,475,547,"38,000",25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:06:07 AM,35.6403,28.8034,↖ 320°,475,547,"38,025", ,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:06:37 AM,35.6897,28.7531,↖ 320°,475,547,"38,000",-25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:07:07 AM,35.7415,28.7001,↖ 320°,475,547,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:07:37 AM,35.7914,28.6492,↖ 320°,476,548,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:08:08 AM,35.8439,28.5955,↖ 320°,476,548,"38,000",25,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:08:38 AM,35.8943,28.5436,↖ 320°,474,545,"38,025",25,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:09:08 AM,35.9452,28.4913,↖ 320°,474,545,"38,025",-25,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:09:39 AM,35.9965,28.4383,↖ 320°,474,545,"38,000",-45,FlightAware ADS-B (JSI / LGSK)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:10:14 AM,36.0545,28.3786,↖ 320°,476,548,"37,975", ,FlightAware ADS-B (JKH / LGHI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:10:44 AM,36.1058,28.3255,↖ 320°,474,545,"38,000",47,FlightAware ADS-B (JKH / LGHI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:11:18 AM,36.165,28.2642,↖ 320°,473,544,"38,025", ,FlightAware ADS-B (PFO / LCPH)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:11:48 AM,36.2161,28.2111,↖ 320°,473,544,"38,000",-50,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:12:18 AM,36.2648,28.1604,↖ 320°,474,545,"37,975", ,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:12:48 AM,36.3145,28.1088,↖ 320°,474,545,"38,000",26,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:13:15 AM,36.3588,28.0604,↖ 317°,471,542,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:13:45 AM,36.405,28.0069,↖ 317°,472,543,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:14:15 AM,36.4543,27.9501,↖ 317°,473,544,"38,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:14:45 AM,36.5019,27.8951,↖ 317°,472,543,"38,000",25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:15:15 AM,36.5496,27.8396,↖ 317°,471,542,"38,025",25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:15:45 AM,36.5974,27.7843,↖ 317°,470,541,"38,025",-24,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:16:17 AM,36.6479,27.7256,↖ 317°,470,541,"38,000",-48,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:16:47 AM,36.6951,27.6707,↖ 317°,471,542,"37,975",-25,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:17:17 AM,36.7431,27.6145,↖ 317°,472,543,"37,975",25,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:17:47 AM,36.7912,27.5583,↖ 317°,472,543,"38,000",25,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:18:17 AM,36.8374,27.5043,↖ 317°,474,545,"38,000", ,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:18:47 AM,36.8862,27.4469,↖ 317°,473,544,"38,000", ,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:19:17 AM,36.9339,27.3907,↖ 317°,474,545,"38,000",25,FlightAware ADS-B (BJV / LTFE)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:19:47 AM,36.9819,27.3342,↖ 317°,473,544,"38,025",25,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:20:17 AM,37.0297,27.2777,↖ 317°,472,543,"38,025",-25,FlightAware ADS-B (RHO / LGRP)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:20:47 AM,37.0774,27.2212,↖ 317°,472,543,"38,000",-25,FlightAware ADS-B (HER / LGIR)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:21:17 AM,37.125,27.1648,↖ 317°,472,543,"38,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:21:47 AM,37.1725,27.1085,↖ 317°,472,543,"38,000", ,FlightAware ADS-B (USQ / LTBO)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:22:17 AM,37.22,27.052,↖ 317°,472,543,"38,000", ,FlightAware ADS-B (HER / LGIR)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:22:47 AM,37.2676,26.9954,↖ 316°,473,544,"38,000",25,FlightAware ADS-B (HER / LGIR)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:23:17 AM,37.3158,26.938,↖ 316°,470,541,"38,025",25,FlightAware ADS-B (USQ / LTBO)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:23:48 AM,37.3637,26.8805,↖ 316°,470,541,"38,025",-25,FlightAware ADS-B (DLM / LTBS)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:24:18 AM,37.411,26.8254,↖ 319°,474,545,"38,000",-25,FlightAware ADS-B (LTFA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:24:49 AM,37.462,26.7705,↖ 319°,474,545,"38,000",-25,FlightAware ADS-B (ADB / LTBJ)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:25:19 AM,37.5125,26.7159,↖ 319°,474,545,"37,975", ,FlightAware ADS-B (KGS / LGKO)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:25:49 AM,37.5628,26.6615,↖ 319°,474,545,"38,000",25,FlightAware ADS-B (ADB / LTBJ)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:26:19 AM,37.6127,26.6074,↖ 319°,476,548,"38,000",-25,FlightAware ADS-B (KGS / LGKO)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:26:50 AM,37.6636,26.5519,↖ 319°,477,549,"37,975", ,FlightAware ADS-B (ADB / LTBJ)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:27:20 AM,37.7141,26.4972,↖ 319°,479,551,"38,000",25,FlightAware ADS-B (JKH / LGHI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:27:50 AM,37.7637,26.4432,↖ 319°,480,552,"38,000",43,FlightAware ADS-B (ADB / LTBJ)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:28:30 AM,37.8316,26.3692,↖ 319°,479,551,"38,050",21,FlightAware ADS-B (HER / LGIR)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:29:02 AM,37.8874,26.3083,↖ 319°,478,550,"38,025",-48,FlightAware ADS-B (ISL / LTBA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:29:32 AM,37.936,26.2549,↖ 319°,477,549,"38,000",-24,FlightAware ADS-B (ISL / LTBA)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:30:04 AM,37.988,26.1978,↖ 319°,478,550,"38,000", ,FlightAware ADS-B (ADB / LTBJ)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:30:35 AM,38.0399,26.1405,↖ 319°,478,550,"38,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:31:05 AM,38.0908,26.0844,↖ 319°,479,551,"38,000",25,FlightAware ADS-B (JKH / LGHI)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:31:35 AM,38.1409,26.029,↖ 319°,478,550,"38,025",25,FlightAware ADS-B (KGS / LGKO)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:32:05 AM,38.1914,25.9732,↖ 319°,475,547,"38,025",25,FlightAware ADS-B (KGS / LGKO)
TLV - ZAG,Croatia Airlines,CTN353,A319,5/7/2023,Wed 06:32:35 AM,38.2405,25.9186,↖ 319°,472,543,"38,050", ,FlightAware ADS-B (KGS / LGKO)
