Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:09:56 PM,40.0488,29.8703,↑ 359°,374,430,"26,375","-1,042",FlightAware ADS-B (BOJ / LBBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:10:25 PM,40.1006,29.8699,↑ 0°,367,422,"25,875","-1,000",FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:10:41 PM,40.1279,29.8699,↑ 360°,364,419,"25,625","-1,000",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:11:25 PM,40.2034,29.8699,↑ 0°,363,418,"24,875","-1,013",FlightAware ADS-B (LBBR)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:12:01 PM,40.2604,29.8698,↑ 0°,361,415,"24,275","-1,000",FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:12:22 PM,40.2979,29.87,↑ 0°,368,423,"23,925","-1,061",FlightAware ADS-B (KCO / LTBQ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:12:42 PM,40.3304,29.87,↑ 360°,370,426,"23,550","-1,050",FlightAware ADS-B (YEI / LTBR)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:13:12 PM,40.3833,29.8697,↑ 360°,367,422,"23,050","-1,050",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:13:32 PM,40.4164,29.876,↑ 17°,363,418,"22,675","-1,026",FlightAware ADS-B (LTHA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:13:50 PM,40.4466,29.883,↑ 2°,361,415,"22,400",-973,FlightAware ADS-B (LTHA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:14:09 PM,40.4746,29.8773,↑ 346°,367,422,"22,075","-1,694",FlightAware ADS-B (EDO / LTFD)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:14:52 PM,40.5461,29.8458,↑ 343°,357,411,"20,650","-2,219",FlightAware ADS-B (LBWB)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:15:22 PM,40.5918,29.8294,↑ 346°,357,411,"19,375","-2,730",FlightAware ADS-B (EDO / LTFD)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:15:53 PM,40.6432,29.8136,↑ 347°,359,413,"17,875","-2,951",FlightAware ADS-B (KCO / LTBQ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:16:23 PM,40.693,29.7987,↑ 347°,364,419,"16,375","-2,877",FlightAware ADS-B (KCO / LTBQ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:16:54 PM,40.7451,29.7829,↑ 347°,368,423,"14,950","-1,881",FlightAware ADS-B (LBWB)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:17:26 PM,40.7956,29.7672,↑ 347°,346,398,"14,400","-1,096",FlightAware ADS-B (LBWB)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:17:46 PM,40.8265,29.7575,↑ 345°,332,382,"14,000","-1,338",FlightAware ADS-B (LBWB)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:18:03 PM,40.8485,29.742,↖ 322°,330,380,"13,575","-1,368",FlightAware ADS-B (KCO / LTBQ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:18:20 PM,40.8623,29.7171,← 293°,332,382,"13,225","-1,324",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:18:37 PM,40.8671,29.6815,← 269°,331,381,"12,825","-1,318",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:18:53 PM,40.8657,29.6482,← 268°,322,371,"12,500","-1,243",FlightAware ADS-B (KCO / LTBQ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:19:12 PM,40.8682,29.6133,← 279°,316,364,"12,100","-1,286",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:19:42 PM,40.8751,29.5575,← 279°,308,354,"11,450","-1,147",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:20:03 PM,40.879,29.519,← 276°,299,344,"11,125","-1,029",FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:20:33 PM,40.8823,29.4638,← 274°,288,331,"10,575","-1,040",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:21:05 PM,40.8855,29.4097,← 275°,283,326,"10,050",-871,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:21:35 PM,40.8887,29.3578,← 275°,275,316,"9,675",-600,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:22:05 PM,40.892,29.3111,← 276°,265,305,"9,450",-500,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:22:35 PM,40.8995,29.2605,← 282°,274,315,"9,175",-511,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:22:52 PM,40.9036,29.2326,← 281°,271,312,"9,050",-455,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:23:08 PM,40.907,29.2094,← 281°,271,312,"8,925",-489,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:23:38 PM,40.9139,29.1605,← 281°,270,311,"8,675",-500,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:24:08 PM,40.9211,29.1112,← 281°,272,313,"8,425",-750,FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:24:38 PM,40.9279,29.0632,← 281°,267,307,"7,925","-1,175",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:25:08 PM,40.9349,29.0141,← 281°,266,306,"7,250","-1,350",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:25:38 PM,40.9419,28.9653,← 281°,269,310,"6,575","-1,325",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:26:08 PM,40.9483,28.9193,← 281°,268,308,"5,925","-1,325",FlightAware ADS-B (SAW / LTFJ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:26:38 PM,40.9553,28.8703,← 281°,266,306,"5,250","-1,337",FlightAware ADS-B (SAW / LTFJ)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:26:54 PM,40.9591,28.844,← 281°,265,305,"4,900","-1,329",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:27:13 PM,40.9631,28.8163,← 281°,264,304,"4,475","-1,414",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:27:29 PM,40.967,28.7893,← 283°,261,300,"4,075","-1,091",FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:27:46 PM,40.9766,28.7678,← 314°,251,289,"3,875",-364,FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:28:02 PM,40.9921,28.7573,↖ 338°,233,268,"3,875", ,FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:28:23 PM,41.0115,28.7443,↖ 332°,220,253,"3,875", ,FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:28:43 PM,41.0313,28.7327,↑ 347°,216,249,"3,875", ,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:28:59 PM,41.0465,28.732,↑ 0°,214,246,"3,875",-86,FlightAware ADS-B (TEQ / LTBU)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:29:18 PM,41.0654,28.7317,↑ 359°,214,246,"3,825",-612,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:29:48 PM,41.0946,28.731,↑ 359°,201,231,"3,375",-984,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:30:19 PM,41.1223,28.7306,↑ 359°,191,220,"2,825","-1,008",FlightAware ADS-B (IST / LTFM)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:30:49 PM,41.1474,28.7301,↑ 359°,181,208,"2,350",-913,FlightAware ADS-B (LTBW)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:31:05 PM,41.1605,28.7298,↑ 359°,172,198,"2,125",-844,FlightAware ADS-B (ISL / LTBA)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:31:37 PM,41.1838,28.7293,↑ 359°,144,166,"1,675",-821,FlightAware ADS-B (IST / LTFM)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:31:47 PM,41.1904,28.7292,↑ 359°,131,151,"1,550",-668,Surface and Near-Surface
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:33:09 PM,41.2386,28.7282,↑ 359°,125,144,650,-643,FlightAware ADS-B (LBWB)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:33:25 PM,41.2471,28.7281,↑ 359°,123,142,500,-609,FlightAware ADS-B (BOJ / LBBG)
TLV - IST,Turkish Airlines,TK787,A21N,22/06/23,Thu 07:33:41 PM,41.2564,28.7279,↑ 360°,127,146,325,-656,FlightAware ADS-B (BOJ / LBBG)
